super_opeid,name,type,tier,tier_name,iclevel,region,state,czname,par_q1,par_q2,par_q3,par_q4,par_q5,par_top10pc,par_top5pc,par_top1pc,par_toppt1pc,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,,
3540,Amarillo College,1,9,Two-year (public and private not-for-profit),2,3,TX,Amarillo,0.16241902,0.225026058,0.229831431,0.242522011,0.14020148,0.044894156,0.02017108,0.003010451,0.000238369,0.192700978,0.242462608,0.244188208,0.200449391,0.120198815,0.115565197,0.196835221,0.267358801,0.271761405,0.148479377,0.133228602,0.171032959,0.251355801,0.248171809,0.196210829,0.136093297,0.18015544,0.214179481,0.255176565,0.214395216,0.126267576,0.156467753,0.208616603,0.212419074,0.296228994,,
22418,"American Career College of Los Angeles, CA",3,11,Two-year for-profit,2,4,CA,Los Angeles,0.414614296,0.284623677,0.159689541,0.090547067,0.05052542,0.018174159,0.005686146,0.003104616,0.00144736,0.15585617,0.269424973,0.296118959,0.230978729,0.047621169,0.159714944,0.261339216,0.246196139,0.250050778,0.082698923,0.14856647,0.265796055,0.245342276,0.234234278,0.106060921,0.214890847,0.233816577,0.152539709,0.247062805,0.151690062,0.092614817,0.146734092,0.224916978,0.2267542,0.308979912,,
3963,American Institute Of Business,2,8,Nonselective four-year private not-for-profit,1,2,IA,Des Moines,0.081016317,0.194152292,0.291711973,0.307127986,0.125991432,0.03304711,0.024251265,0.00312296,0.000158517,0.028522015,0.260263406,0.279791481,0.254352302,0.177070796,0.109609409,0.142905561,0.249866674,0.349795909,0.147822448,0.054011925,0.110466398,0.273495662,0.335891789,0.226134227,0.042286491,0.150084797,0.265253285,0.372870239,0.169505188,0.063673848,0.06049925,0.250771529,0.337004218,0.288051155,,
21136,American Intercontinental University,3,10,Four-year for-profit,1,2,IL,Chicago,0.260332929,0.258476842,0.222582995,0.160529758,0.098077476,0.04114276,0.01853579,0.004889943,0.000489295,0.186601783,0.282639726,0.26061437,0.168870655,0.101273467,0.192187988,0.257630189,0.25042229,0.190369141,0.109390393,0.18785646,0.241291346,0.225508831,0.209781227,0.135562136,0.188102411,0.227757942,0.22946159,0.211525443,0.143152614,0.186463172,0.213222311,0.175278933,0.174907096,0.250128487,,
2114,American International College,2,6,Selective private,1,1,MA,Springfield,0.145544206,0.199519099,0.188940395,0.255978124,0.210018175,0.07703873,0.027052341,0.005896935,6.80832E-05,0.144310379,0.172929942,0.203278647,0.294682397,0.184798636,0.117063217,0.152676546,0.290556582,0.204884862,0.234818793,0.084446864,0.144219946,0.188845267,0.30623769,0.276250233,0.054208193,0.119124887,0.119474377,0.310955266,0.396237277,0.096494451,0.120583706,0.133425234,0.281155485,0.368341124,,
7572,American Musical & Dramatic Academy,2,8,Nonselective four-year private not-for-profit,1,1,NY,New York,0.068494346,0.134637761,0.188438925,0.264313143,0.344115824,0.181522858,0.063715002,0.010904926,0.001281826,0.122451148,0.16650565,0.479455227,0.129006664,0.10258131,0.113932928,0.316766929,0.219837999,0.206538109,0.142924034,0.081173642,0.320091751,0.320065923,0.152784406,0.125884278,0.144184588,0.233570176,0.263876028,0.207481937,0.150887271,0.159851555,0.209808972,0.238569914,0.207234535,0.184535024,,
3726,American National University,3,10,Four-year for-profit,1,3,VA,Roanoke,0.293059129,0.29596233,0.258528511,0.110772175,0.041677854,0.017481865,0.00067595,0.00067595,4.02132E-05,0.210185026,0.332519609,0.330219022,0.094005117,0.033071226,0.211578888,0.329334849,0.321306843,0.116433069,0.021346351,0.186083449,0.280637842,0.350460922,0.153998888,0.0288189,0.154143315,0.286293169,0.367543293,0.14104055,0.050979673,0.170789029,0.224149046,0.421011402,0.181328182,0.00272234,,
1434,American University ,2,4,Highly selective private,1,3,DC,Washington DC,0.035309112,0.066071379,0.108909362,0.176795622,0.612914526,0.437595011,0.295348185,0.087893452,0.014072705,0.223385935,0.128540992,0.106088604,0.178218947,0.363765522,0.124980398,0.106562505,0.05760712,0.167971772,0.542878205,0.122029135,0.077655017,0.096146695,0.180420118,0.523749035,0.107821696,0.078707758,0.070841512,0.189772124,0.552856909,0.098798174,0.089310164,0.080060719,0.19319206,0.538638884,,
2115,Amherst College,2,2,Other elite schools (public and private),1,1,MA,Springfield,0.04221596,0.059988364,0.094621277,0.097151464,0.706022935,0.583605418,0.439204439,0.168124529,0.023892085,0.201099617,0.041382347,0.131950179,0.160889758,0.464678099,0.097316494,0.007827005,0.124372286,0.1516825,0.618801715,0.096364668,0.095342202,0.061295451,0.192479824,0.554517855,0.080132388,0.11241512,0.107003009,0.193984874,0.506464608,0.068967783,0.086741422,0.074311601,0.152837824,0.61714137,,
1784,Ancilla Domini College,2,9,Two-year (public and private not-for-profit),2,2,IN,South Bend,0.104623766,0.204548907,0.283088861,0.270751901,0.136986565,0.032805481,0.014519827,0.000728676,0.000481094,0.258004109,0.258987236,0.231172902,0.190145356,0.061690397,0.11084452,0.241468332,0.274508107,0.211591793,0.161587248,0.14517076,0.222116668,0.276983286,0.27016697,0.085562315,0.125919413,0.172740073,0.320441806,0.24220415,0.138694558,0.101234892,0.124649528,0.203654344,0.289930293,0.280530945,,
